Field 1,Parent company,Vendor,Business status,link,Country of origin,Software type,Focus,Twitter,Crunchbase,Website shutdown date,B2B vs B2C,Financials,Last edit
171,"Upland Software,""Private Equity Firm HGGC, LLC hggc.com""","Kapost kapost.com founded in 2009 & acquired in 2019. Content marketing software platform. Enables marketers to succeed as publishers by helping them generate content ideas, manage the content production process, & develop traffic-generating links to their content. Manage every aspect of your B2B content lifecycle – from ideation to distribution – & optimize every single asset. Streamlines your distribution process, enabling you to publish to an internal library & across channels. Simplifies content discovery & tracks internal usage of current content among teams. Manage your entire content lifecycle, collaborate & produce more efficiently, & measure the impact of every single asset through the entire buyer journey. Had $15M in revenue annually & competed with NewsCred, Uberflip, & WebDAM. May 28, 2019, Upland Software (See below) acquired Kapost for approx. 3x revenue ($45M in cash) + $5M cash holdback payable in 12 months. Boulder, CO",Acquired,https://kapost.com,USA,,,,,,B2B,,14 November 2023
,"""Horatio, Inc""","Kbee kbee.app @tryKbee Knowledge Base Software. Kbee lets anyone create a searchable & branded knowledge base straight from Google Docs. Turn your content into a fast, searchable space for you, your team, or your customers. Create instantly: Turn your existing Google Drive folders & files into a professional knowledge base. Find answers quickly: Full-text search across all of your content. Match your brand: Customize your domain, logo, color schemes, & layout. Horatio, Inc. San Francisco, CA, USA",Active,https://www.kbee.app,USA,,"knowledge management,learning management system,searching finding discovery",https://twitter.com/trykbee,,,,,11 May 2023
70,"""KickPost, Corp.""","KickPost kickpost.io Effortlessly connect to your departments/partners on KickPost, a way to deliver, organize, & receive up-to-date info in one place. Organizes the clutter & connects you together, all in one place, making it simple to distribute & receive information from all your connections. Organize your co-workers to better manage & share information with specific parts of your team. Partner engagement. Scottsdale, Arizona",Active,https://www.kickpost.io,USA,,,,,,B2B,,14 November 2023
,Kickscale GmbH,"Kickscale https://www.kickscale.com/ @kickscale Use Sales Playbooks Your Sales Reps Love. The Kickscale Platform is offering playbooks enabling marketing & sales teams to scale. You can access know-how and best-in-class content with just one click. Kickscale GmbH. Vienna, Austria",Active,https://www.kickscale.com,Austria,"SaaS,no code",playbooks,https://twitter.com/kickscale,,,,,4 September 2023
,,"KiCube apps to drag & drop your marketing content to build an interactive story for the devices used by your sales force. Austin, TX",Out of Business,,USA,,,,,,,,20 January 2023
73,Uvaro Inc.,"Kiite kiite.ai AI for Sales Enablement kiite.ai/sales-enablement/ @kiiteHQ “The future of work is being built today. Supercharge your workforce with Kiite, the world’s first Intelligent Sales Coach. Streamline Sales Enablement: Let’s face it, there’s too much company knowledge & it’s impossible to train reps on everything. Knowledge is scattered among applications & websites, making it difficult for sales reps to access & leverage to sell more.” Dec 27, 2017, raised undisclosed amount / Seed from Xfund. crunchbase.com/organization/kiite Waterloo, Ontario, Canada. 3-Nov-2021, WATERLOO, ON, CANADA. Online tech sales academy Uvaro closed a $12M (USD) Series A funding round with lead investment from global multi-stage technology investment firm White Star Capital with participation by Real Ventures & BDC Capital’s Women in Technology Venture Fund. ",Active,https://kiite.ai,Canada,,,https://twitter.com/kiiteHQ,,,,https://uvaro.com/blog/series-a,11 May 2023
,KLUE LABS,"Klue klue.com @kluein competitive intelligence software that helps Marketing & Enablement teams collect, curate, & deliver intel to Sales to close more deals. Track Competitors: Stay on top of the competition. Klue tracks relevant news & data and combines it with internal sources. Deeper competitive intelligence gives you the edge. Centralize Competitive Content: Update sales battlecards, collaborate, & deliver consumable competitive strategies in the tools your Sales reps use every day. Improve Sales Performance: Arm reps with sales strategies to be more effective in closing deals. Easily searchable sales battlecards give tactics to handle objections, deposition competitors, & leverage strengths. $800K in estimated revenue annually & competes with CI Radar, PlainSight Intel LLC, & Digimind. By KLUE LABS, Vancouver, British Columbia, Canada. 19-Jan-2023, Market intelligence platform Klue acquired Massachusetts-based company DoubleCheck. Financial details of the acquisition were not made public. https://doublecheckresearch.com",Active,https://klue.com,Canada,,,https://twitter.com/kluein,https://www.crunchbase.com/organization/klue,,B2B,,22 January 2023
156,"Klyck.io Corp,SKURA","KLYCK klyck.io @klyckio (from the founder of SKURA Sales Enablement solution skura.com) Sales enablement app built for manufacturing solution sellers. Improve the way you publish, present, share, & analyze content! Founded on the belief that solution sellers need the right tools to create memorable sales conversations. Our mission is to help sales & marketing teams around the world improve the way they publish, present, analyze, & deliver content. Make Every Conversation Count: Redefining the way companies manage, present, share & analyze content by providing teams with the skills, and tools to make every conversation count. KLYCK is redefining the way companies manage, present, share & analyze content by providing teams with the knowledge, skills, processes & tools to make every interaction count. Less Searching, More Selling: Easily publish content, update existing collateral & organize your content library. Measure the impact of your content with detailed & customizable analytics to understand how your workforce & prospects are engaging. Toronto, Ontario, Canada","Rebranding,Active",https://klyck.io,Canada,,,https://twitter.com/klyckio,https://www.crunchbase.com/organization/whut-inc,,B2B,,7 May 2023
,"""Bellurbis Technologies Pvt. Ltd., India""","KnoBis knobis.co KNOWLEDGE MANAGEMENT PLATFORM: “A Knowledge Base that teams actually love to use.” “Somewhere along the way, Knowledge Base got really hard to use. Simple, intuitive & requires no training.” SALES ENABLEMENT: Ensure better synchronization between sales & marketing teams, & provide sales reps with the entire arsenal needed to close deals. INTRANET & CONTENT REPOSITORY: Create your own intranet with an interactive content repository, allowing employees to contribute, collaborate & share. COMMUNITY: Create a community of relevant stakeholders, & share news, product updates, tips & tricks etc. By Bellurbis Technologies Pvt. Ltd., India",Out of Business,,India,,,,,,,,20 January 2023
142,"Seismic,Permira permira.com Global investment firm","KnowledgeTree knowledgetree.com (KnowledgeTree was acquired by SAVO Group; announced Jun 12, 2017. Then on May 8, 2018, it was announced that Seismic acquires SAVO Group) Right content, right time, right in salesforce.com – Sales teams sell more when they use effective presentations, data sheets, & case studies. Makes sales enablement easy by surfacing the best content for any sales process – instantly in salesforce.com",Acquired,https://seismic.com/knowledgetree-login/,USA,,,,,,,,20 January 2023
,Knowledge Work Inc.,"Knowledge Work kwork.studio @asanokoji a CMS. Sales enablement cloud that helps everyone sell. Strengthen your sales force & improve sales productivity with one tool. knowledgework.cloud All functions of “Knowledge Work” can be used on “Salesforce Sales Cloud”. You can find sales materials & sales know-how that match your business negotiations on the individual business negotiation screen in Salesforce Sales Cloud. Strengthen your sales force & improve sales productivity with one tool. Create learning courses using materials & videos as teaching materials in a short time & without any hassle. Integrates seamlessly with tools such as CRM/SFA, file storage, chat tools, & single sign-on. Use data to understand the usage status of sales materials, videos, & sales know-how, as well as the status of learning courses. Knowledge Work Inc., Japan",Active,https://kwork.studio,Japan,SaaS,"Sales Enablement,CMS",https://twitter.com/asanokoji,,,B2B,,25 October 2023
74,SEMrush Inc.,"Kompyte kompyte.com @kompyte helps product, marketing & sales teams collect, organize & act on CI (competitive intelligence) to differentiate, provide unique value & earn market share. kompyte.com/sales-enablement/ COMPETITIVE INTELLIGENCE FOR SALES ENABLEMENT: Differentiate & win more deals. Improve sales effectiveness with up-to-date intelligence on competitor pricing, products & promotions. $1M in estimated revenue annually & used to compete with Rival IQ, TrackMaven, & L2. Now saying they don’t compete with RivalIQ or Track Maven anymore, but their main competitors are Klue & Crayon. Intellikom, Inc., doing business as Kompyte. San Francisco, CA, USA & Barcelona, Spain. 1-Mar-2022: Semrush, an online visibility management SaaS platform, announced plans to acquire competitive intelligence automation & sales enablement platform Kompyte. Based out of Austin, Kompyte is an Al-driven solution designed to simplify the tracking, compilation & analysis of competitor insights for sales, marketing, product development & executive teams. Its platform delivers timely, strategic insights derived through the consistent monitoring of competitors' holistic online presence. This enables better messaging, positioning, product development, & revenue capture for both small teams & large enterprises.","Active,Acquired",https://www.kompyte.com/sales-enablement/,"USA,Spain","SaaS,ML",Sales Enablement,https://twitter.com/kompyte,https://www.crunchbase.com/organization/kompyte,,B2B,https://angel.co/company/kompyte,2 March 2022
,Temenos Group,"Kony kony.com Kony enterprise apps: Reach your employees on any channel – phones, tablets, desktops, & more – to deliver a consistent experience that drives enterprise-wide adoption. Enable sales teams to engage with customers in a personalized & informed way – anytime, anywhere. Help field & plant workers quickly execute & close work orders with intuitive workflows & access to pertinent information. Geneva-based Temenos' announced the acquisition of Austin, Texas-based digital application provider Kony in a deal totalling $580M. September 25, 2019, Temenos (SIX: TEMN) GENEVA Switzerland banking software company, announced that the acquisition of Kony Inc @kony the US digital banking SaaS company has now closed. Temenos acquired Kony, the a digital banking SaaS company in the US. Kony’s technology accelerated Temenos Infinity, the cloud-native digital banking product, which drives digital experiences across customer journeys.","Acquired,Leaving Sales Enablement market",https://www.kony.com,"USA,Switzerland",,,https://twitter.com/kony,https://www.crunchbase.com/organization/temenos,,,https://www.crunchbase.com/organization/kony,5 May 2023
,,"Kraams kraams.com an iPad app that was hoping to become the sales platform of choice for small businesses reliant on face-to-face pitches with clients. The point of the app was to enable users to easily tweak their story lines for any given presentation & to change tack in the middle of that same meeting. Founded in Poland by a group of advertising vets, the idea was that there is no better way to achieve credibility with a client than to deliver a customized pitch. The app placed product images on cards, which the salesperson could shuffle, group, & swipe away in reaction to the client’s responses: More agile than slideshow programs, especially relevant when appealing to only a few people’s opinions. In addition to programs like PowerPoint & Keynote, it was directly competing against customizable sales apps like Showpad/StoryDesk. The differentiating point was the emphasis on targeting SOHO & SME businesses, since many other apps are oriented toward serving large companies & supporting the whole sales process. Poland",Out of Business,,Poland,,,,,,,,20 January 2023
54,Act! LLC,"Kuvana, Inc. kuvana.com (Previous name Skygage?) See buying signals instantly: Alerts for opens, videos, PDFs, links, web pages and CRM. Key prospect interaction is captured, and followup actions made easy. Marketing Asset Analytics. Asset Libraries: Easily insert marketing collateral into your sales emails. And see the stats as they roll in. Atlanta, GA (Swiftpage has acquired Kuvana on Dec 12, 2018.) @Swiftpage has continued it's growth strategy with it's recent acquisition of Kuvana, Inc who are the makers of InboxGuru. Swiftpage is now Act!. Follow us at  @ActCRM !",Acquired,https://www.inbox.guru,USA,,,https://twitter.com/TeamKuvana,https://www.crunchbase.com/organization/skygage,,,,15 May 2022
75,KYKLO Corporation,"KYKLO kyklo-usa.com www.kyklo.co Sales Operations Management - Helping Automation & Electrical Distributors Digitize. ""Shopify for B2B distributors in the electromechanical industry"". New York City, New York, USA & Bang Rak, Krung Thep, Thailand",Active,https://www.kyklo.co,"USA,Thailand",,,,https://www.crunchbase.com/organization/kyklo,,,,18 December 2022
,Lative Limited,"Lative lative.io @Lative_io view & manage your sales organisations performance! Make better investment decisions, improve operating margins & design the right sales organisations for the future. Are my sales teams effective and efficient? Am I investing in the right areas? Do I have enough sales capacity to reach the targets? Am I setting targets that drive the right sales behaviours? What are my true ramp times for new hires? What impact did the sales enablement activities have? We standardize & deliver the Growth Efficiency Metric (GEM Score) to help businesses grow efficiently. The Lative platform provides real-time insights enabling customers to make real-time decisions to manage growth efficiency, headcount effectiveness & capacity planning. Accurately predicting your future & provide insights & simulations to better manage your business & greatly reduce planning cycles. Lative Limited, Dublin, Ireland",Active,https://www.lative.io,Ireland,SaaS,Sales Enablement,https://twitter.com/Lative_io,,,"B2B,B2C",,3 June 2022
41,"""DEMAND SCIENCE, LLC""","Leadiro leadiro.com @leadiro B2B sales enablement, sales intelligence & data enrichment platform with 60M+ verified records. 19-Apr-2021, DANVERS, Mass., USA, Demand Science DemandScience demandscience.com @DemandScience (Buyer Intelligence Platform / B2B Sales Enablement & Market Intelligence Solutions) completed the acquisition of Leadiro","Active,Acquired",https://www.leadiro.com,USA,,Sales Enablement,https://twitter.com/leadiro,,,B2B,,3 February 2022
,,Leadstalk leadstalk.pro small vendor/agency focused on Mauritius,Out of Business,,Mauritius,,,,,,,,20 January 2023
78,,"LeanData leandatainc.com @LeanData enterprise Revenue Ops platform/solution [family of applications] “breaks down the barriers between sales and marketing operations to improve the buyer experience, drive greater revenue and fuel growth”. “We don’t create, change or transform data. Rather we underpin the entire go-to-market process by connecting trustworthy data to the right people, in the right places & at the right time.” Also offers an intuitive Routing application, ensuring the right data gets to the right people for action. Analytics (Attribution application) provide marketers with clear visibility into which investments are bearing fruit & which need to be redirected to continuously improve selling motions. Open APIs & a variety of out-of-the-box integrations, extend the Matching & Routing products beyond CRM to popular sales & marketing applications. Integration partnerships include BombBomb, Drift, G2 Crowd, Outreach & SalesLoft. $3.9M in revenue annually & competes with Ringlead, CRMfusion, & Velocify, Inc. Sunnyvale, CA, USA",Active,https://www.leandatainc.com/,USA,SaaS,,https://twitter.com/leandata,https://www.crunchbase.com/organization/leandata,,B2B,,13 October 2023
,Leaner Technologies Inc,"Leaner leaner.co.jp @leaner_japan keep innovating on procurement standards! Leaner Technologies Co., Ltd. develops & provides the expenditure management platform Leaner with the mission of continuing to innovate procurement standards. Provides cloud-based software for cost reduction analysis. Leaner Quotation: A cloud service that digitizes the analog quotation process & realizes “sophistication of sourcing.” A cloud service chosen as the “first step” for procurement departments that want to change analog estimation activities. Can be introduced in as little as 1 month. Leaner Technologies Inc. Tokyo, Japan (Shinagawa City)",Active,https://leaner.co.jp,Japan,SaaS,,https://twitter.com/leaner_japan,https://www.crunchbase.com/organization/leaner-technologies,,B2B,,31 October 2023
154,Showpad,"LearnCore learncore.com/sales-enablement/ Sales training & coaching platform built with enablement in mind. Empower your sales teams. Increase Rep Productivity: Make sure the entire sales team is always up to speed & communicating consistently. Messaging, Demos, Objection Handling, Onboard Reps Faster. Deliver just-in-time learning to the right people at the right time. Chicago, IL Joined Showpad. LearnCore has become the new Showpad Coach. Deliver the onboarding, training, and coaching your salespeople need to become trusted advisors and exceed quota with Showpad Coach’s sales coaching and training software.",Acquired,https://www.showpad.com/product/showpad-coach/,,,,,,,,,20 January 2023
76,Learning Pool Ltd,"Learning Pool learningpool.com @LearningPool e-learning: online learning platforms, creative content & analytics. Solutions include traditional Learning Management Systems (LMS), next-generation Learning Experience Platforms (LXP), Learning Record Store (LRS), agile learning content development tools, off-the-shelf e-learning modules & bespoke content development. Learning Pool Ltd, Derry, UK. Competes with Totara Learning @totaralearning",Active,https://learningpool.com,UK,,,https://twitter.com/LearningPool,,,B2B,,23 May 2023
142,"Permira permira.com Global investment firm,Seismic","Lessonly lessonly.com/sales-enablement-training-software/ @lessonly “powerfully simple, trackable training software teams use to learn & practice like never before. Helps customer service & sales teams do better work.” Sales Enablement Training Software: With Lessonly, companies & managers quickly transform knowledge into shareable lessons & resources, engage employees through interactive feedback loops, accelerate rep & team performance, & measure the impact of better learning across their organizations. Lessonly has $6.7M in revenue annually. Lessonly competes with Mindflash, LearnCore (See above & see Showpad below), & TrainCaster LMS. Indianapolis, IN, USA. 19-Aug-2021, sales enablement & marketing orchestration platform Seismic acquired Lessonly, a provider of sales training, coaching, & enablement solutions. With this acquisition, the company will provide sellers the access to marketing & sales content as well as coaching plans, learning programs, & practice scenarios in one location. In addition to the acquisition, the company has also closed a $170M Series G funding bringing the company’s valuation to $3B. Obie acquired by Lessonly 29-Jul-2021","Active,Acquired",https://www.lessonly.com,USA,SaaS,,https://twitter.com/lessonly,https://www.crunchbase.com/organization/lesson-ly,,B2B,,14 May 2022
137,Salesforce,"LevelJump leveljump.io @LevelJumpS built on the Salesforce platform. Correlate all of your enablement efforts to real CRM metrics & milestones. Improve your onboarding process, maintain ongoing sales training, & drive revenue. Launch prescriptive & interactive programs that include videos, calls, articles, & coaching materials to continuously onboard & train your sales force in the most engaging way. Provide a modern enablement experience with onboarding, on-going training, new product launches, pre-event, & pre-campaign programs your teams can complete on the go. Practice with video-first coaching rooms assigned to your managers & teams for role play, pitches, & objection handling. Align sales & marketing message consistency by reviewing pitches, providing scores & feedback, and certifying your reps. Centralize training videos & coaching content in a library directly in Salesforce, & categorize by themes, win stories, or use cases. Accelerate deals with recommended content based on stage, products, competitors, or any custom fields on leads, contacts, accounts, & opportunities in Salesforce. Save reps time by linking additional resources to videos, from your CMS, to PDFs, & any other tools. Ramp reps faster by publishing training videos & coaching collateral to help them at any stage of the sales cycle. Toronto, ON, Canada. Acquired by Salesforce 22-Sep-2021","Rebranding,Active,Acquired",https://www.leveljump.io,Canada,SaaS,Sales Enablement,https://twitter.com/LevelJumpS,,,B2B,,23 May 2023
154,Showpad,LIA liaapp.com mobile app that pushes correct sales materials to each rep & then sends analytics back to management to help sales & marketing be more effective together. Old brand: LiberatedIntelligence.com Digital Asset Manager. LIA acquired by Showpad. liberatedintelligence.com old brand of LIA liaapp.com (Now Showpad),"Rebranding,Acquired",https://www.showpad.com,USA,,,,,,,,20 January 2023
83,Microsoft,"LinkedIn (Microsoft) (See PointDrive) PointDrive acquired by LinkedIn. Announced Date: Jul 26, 2016 May 3, 2012: LinkedIn acquired professional content sharing platform SlideShare for $119 million in cash & stock. Dec 8, 2016, after getting final European Commission approvals, Microsoft & LinkedIn announced that Microsoft’s $26.2bn acquisition of LinkedIn, the social networking site, officially closed. LinkedIn Learning / LinkedIn Marketing Solutions. LinkedIn Learning / LinkedIn Marketing Solutions (Microsoft) Microsoft microsoft.com @microsoft getting into the metaverse & its corporate version of the metaverse via Microsoft Teams & rolling out updates to Xbox consoles: Collectively known as Mesh: Combines the mixed-reality capabilities of Microsoft Mesh, people in different locations join collaborative & shared holographic experiences, with productivity tools of Microsoft Teams, where people can join virtual meetings, send chats, collaborate on shared documents etc. Microsoft has Loop as a Notion clone for Office: “The Fluid Framework is coming to life as Microsoft Loop, a new Microsoft 365 application that takes collaboration beyond the traditional document”. Microsoft makes SharePoint, Microsoft CRM Dynamics 365, Microsoft Azure the cloud computing service, owns Yammer / Skype / LinkedIn (PointDrive) PointDrive acquired by LinkedIn 26-Jul-2016 / LinkedIn Learning. 3-May-2012, LinkedIn acquired professional content sharing platform SlideShare for $119M. 8-Dec-2016, Microsoft & LinkedIn announced that Microsoft’s $26.2bn acquisition of LinkedIn, the social networking site, officially closed. 11-Aug-2020, LinkedIn sold the presentation-sharing service scribd scribd.com @Scribd Scribd Inc. began operating the SlideShare slideshare.net @SlideShare business on 24-Sep-2020. Microsoft Office Delve: Cloud-based service powered by Office Graph, which helps users find & discover pertinent information across integrated Microsoft products by pulling user content from Microsoft Exchange, OneDrive for Business, SharePoint 2016 & Yammer. Greg Poirier of Cloudkettle says: ""I spend a lot of time with startups. We tell them all that Excel is your worst competitor. Everyone already has it (no new cost), they kind of know how to use it (no onboarding) and it’s very reliable (in general startup software is not). It’s a startup killer.""","Acquired,Active",https://linkedin.com/learning/,USA,,,,,,,,27 March 2022
,"""Lionboard Analytics, LLC""","Lionboard Analytics, LLC lionboard.com Saas-based Analytics Platform & Benchmarking Solution for Sales Enablement founded 2017. Helping Sales Enablement Leaders prove their financial value & elevate their conversation with their executive team, to help them transition from a tactical pursuer of “random acts of enablement” to become an influential voice in the formulation & execution of their company’s Go-To-Sale Strategy. Connects the dots between sales enablement & a company’s financial performance. Presents that information in a simple, “fitbit-like” dashboard that can show the value of the sales enablement team. Hence, it’s not adding to the number of sales rep facing tools. Palatine, Greater Chicago Area, Illinois, US","Zombie?,maintenance mode company?,Out of Business",https://www.lionboard.com,USA,,,https://www.linkedin.com/company/lionboard-analytics/about/,,,,https://www.linkedin.com/company/lionboard-analytics/about/,23 February 2022
,,"LiveHive livehiveapp.com @LiveHive allows channel managers to gain live insight into partner selling activities. iOS app / single destination to get the most current business documents, campaigns and product materials and then analyzes who is using what & which materials are most helpful to channel partners. San Jose, CA, US (Last tweet was 5-May-2017 and website is down)",Out of Business,,USA,,,,,,,,16 October 2022
,thedocyard Limited,"LockBox Storage lockboxtech.com.au – a B2B secure document storage & sharing solution customers can integrate into their digital offerings. thedocyard thedocyard.co @thedocyard_co deal management platform in a single integrated solution that empowers teams, drives productivity & manages risk. Cloud-based deal space built specifically for managing the entire lifecycle of any corporate or commercial transaction. Project documents, communication & management in one place. Your organisation-wide solution for internal & external collaboration between all deal stakeholders, on both sides of the deal. Secure document management, version control, watermarking, e-signatures & a complete audit trail of all users’ viewing, downloading & commenting on each document. thedocyard acquired 100% of LockBox Technologies Pty Ltd. LockBox is an Australian technology company that has created two complementary products: LockBox & Athena Board athenaboard.com.au – a direct to customer secure document creation & consumption solution for boards. Sydney, NSW, Australia",Acquired,https://www.lockboxtech.com.au/,Australia,,,,,,,,16 October 2022
79,KLI Learning Corporation,"LogicBay logicbay.com @LogicBay cloud-based partner relationship management (PRM) solutions for small emerging to global enterprises. Also offers consulting, training, & certification solutions. “Accelerate revenue with LogicBay’s Partner Relationship Management (PRM) Solution.” $4.1M in revenue annually. Competes with Channeltivity, Relayware, & ChannelAdvisor. Founded in 1980. LogicBay was acquired by KLI Learning Corporation on Feb 1, 2004. Based in Warwick, Rhode Island. Wilmington, North Carolina, USA","Acquired,Active",https://www.logicbay.com,USA,,,https://twitter.com/logicbay,https://www.crunchbase.com/organization/logicbay,,,,23 February 2022
114,"Loom Inc.,Atlassian Corporation Plc","Loom loom.com @loom work communication tool that helps you get your message across through instantly shareable video. Say it with video! Get your message across, no matter where you work. Sending a Loom is more efficient than typing long emails or spending your day in meetings having conversations that don’t need to happen in real-time. You talk up to 6x faster than you type. Capture you screen, record their front-facing camera, & narrate video all at once with no switching apps or upload required. Whether it’s training new teammates or replying to a customer inquiry, Loom enhances the way people communicate at work by allowing them to send the next best thing to being there. Why Sales teams use Loom: Improve outreach. Accelerate sales cycles. Optimize performance. Streamline onboarding. San Francisco, CA, USA. Legal name Opentest, Inc. 13-Oct-2023: Atlassian to acquire video-messaging startup Loom for $975M.","Active,Rebranding,Acquired",https://www.loom.com,USA,SaaS,video,https://twitter.com/loom,https://www.crunchbase.com/organization/loom,,"B2C,B2B",,13 October 2023
,,"Loop helloloop.io @helloloop Helping sales teams onboard sales reps more effectively. Loop helps sales teams generate more revenue through more effective onboarding. Loop was born out of the desire to create a sales process where anyone can sell anything without deep experience. Brooklyn, New York, USA",Out of Business,,USA,SaaS,"training / onboarding,learning management system",https://twitter.com/helloloop,https://www.linkedin.com/company/helloloop/,13/10/2023,B2B,https://www.linkedin.com/company/helloloop/,13 October 2023
81,Loopio Inc.,"Loopio loopio.com @loopioinc Proposal & RFP Management Software: simplifies the process of developing proposals and responding to RFPs. Automation engine to populate your RFP with the best answers from your Loopio Library. “Produce brand compliant proposals in seconds: Don’t spend countless hours formatting documents. Leave it to Loopio to export your content into a beautiful, custom branded proposal.” $20M in revenue annually. Competes with RFPIO Inc., RFP365, & Proposal Software. Toronto, Canada. 17-May-2023, Loopio acquired Avnio [Avnio Ltd] https://www.avnio.com a 100% Salesforce-native Response Management solution, which streamlines the process of responding to RFPs, RFIs, & questionnaires inside the world’s most-used CRM. https://twitter.com/avnioltd",Active,https://www.loopio.com,Canada,SaaS,RFP,https://twitter.com/loopioinc,https://www.crunchbase.com/organization/loopio,,B2B,,6 June 2023
81,"Loopio Inc.,Avnio Ltd","Loopio loopio.com @loopioinc 17-May-2023, Loopio acquired Avnio [Avnio Ltd] https://www.avnio.com https://twitter.com/avnioltd a 100% Salesforce-native Response Management solution, which streamlines the process of responding to RFPs, RFIs, & questionnaires inside the world’s most-used CRM. Avnio is a Sales Control and Acceleration Platform dedicated to creating amazing solutions and products for sales teams. Avnio Response Cloud is the only Salesforce native, fully-automated response solution designed to help you win more of the right business by automating the response, capture, and analysis of RFPs, DDQs, and Security Questionnaires. London EC1A 2BN United Kingdom","Acquired,Active",https://www.avnio.com,UK,"SaaS,Salesforce.com Package",RFP,https://twitter.com/avnioltd,https://www.crunchbase.com/organization/loopio,,B2B,https://www.newswire.com/news/loopio-acquires-avnio-expanding-global-presence-and-broadening-22038914,6 June 2023
,Loxo Limited,"Loxo loxoapp.com Sales enablement for buyer-obsessed companies. Stand out to your prospective customers with Loxo, the fastest way to enable your buyers to sell internally, & ensure consistent execution from your reps. Accelerate your revenue growth by making it easier for buyers to buy from you. Digital Salesrooms like you have never seen before. Loxo is a prospect engagement platform for SaaS Account Executives. It allows AEs to create private mini-sites that host all the info their prospects will need in one place. This makes it easier for their prospects to communicate a world of info to different decision-makers & executives – helping them get internal buy-in. Instead of forwarding 20-page PDFs, videos, slide decks, mutual action plans, and more (all as individual files), AEs can quickly create central hubs that host all these assets in one place. Then, all their prospect has to forward is one URL to their internal stakeholders. By decluttering the post-demo process, Loxo makes it easier for your prospect to get internal buy-in, so you can prevent deals from slipping. Loxo Limited. London, UK",Active,https://www.loxoapp.com,UK,SaaS,,,,,B2B,,4 October 2023
137,Salesforce,"Lurniture (See LevelJump above) Lurniture lurniture.com Accelerate your sales by delivering the right sales training at the right time — right within Salesforce. Develop your team’s selling skills faster, Increase deal sizes & close rates, Clone your top performers, Track the ROI of your training efforts. Built 100% native on salesforce.com (SFDC), Toronto, Ontario, Canada. Acquired by Salesforce 22-Sep-2021","Out of Business,Rebranding,Acquired",https://www.leveljump.io,Canada,,,,,,,,23 May 2023
,Lusha Systems Ltd.,"Lusha lusha.com @LushaData B2B engagement is based on trust. Lusha helps you build that trust. Israeli startup [First U.S. office in Boston] that helps B2B salespeople identify, engage with & close deals. Similar to ZoomInfo, Lusha’s cloud-based platform helps sales teams share accurate contact & company information with each other, & provides them with data they can use to better understand the customers they target. It also recommends relevant prospects, eliminating the cumbersome research process that often bogs salespeople down. Lusha Systems Ltd.",Active,https://www.lusha.com,Israel,"ML,SaaS",Lead Generation,https://twitter.com/LushaData,,,B2B,,4 September 2023
,MadKudu Inc.,"MadKudu madkudu.com @madkudu predicts the value of every lead in the funnel, helping marketing leaders assess their marketing programs & adjust spend. Give them a forward-looking view of their pipeline & ability to articulate their value with a metric everybody understands & trusts: expected revenue. Helps B2B marketers take full advantage of their valuable data to empower their go-to-market strategy. Automatically prioritize your best leads & accounts based on fit & intent, ensuring nothing falls through the cracks & you aren’t leaving revenue on the table. Connect Data From Everywhere: How a lead engages with your product is just as important as the website, your emails, or sales conversations. MadKudu ingests data from ALL sources. By measuring & talking the language of the rest of the company – revenue – you’ll prevent questions about the impact of your marketing team, saving energy for more productive conversations. MadKudu Inc., Mountain View, CA",Active,https://www.madkudu.com,USA,,,https://twitter.com/madkudu,,,B2B,,11 May 2023
136,"""Pipedrive, Inc."",Vista Equity Partners","Mailigen mailigen.com @mailigen (Acquired by Pipedrive) email marketing automation platform & agency servicing small to medium size companies around the world. Email marketing comes to Pipedrive. Mailigen by Pipedrive will open to the first users later spring 2020. Get ready to engage your customers and make entirely new ones with Mailigen by Pipedrive. Riga, Riga, Latvia","Acquired,Active",https://www.mailigen.com,Latvia,,,https://twitter.com/mailigen,https://www.crunchbase.com/organization/mailigen,,,,16 October 2022
80,Ricoh Group,"MarcomCentral acquired by Ricoh Company on Dec 9, 2014 marcom.com @MarcomCentral an online, on demand marketing assets management (MAM) solution. ""Become a marketing rockstar with MarcomCentral's marketing asset management software."" Manages & customizes marketing content across your entire organization. $10M in estimated revenue annually& competes with Pageflex Inc., SproutLoud Media Networks, LLC, & Elateral. Solana Beach, California, US","Acquired,Active,Rebranding",https://marcom.com,"USA,Japan",,,https://twitter.com/MarcomCentral,https://www.crunchbase.com/organization/marcomcentral,,,https://www.owler.com/company/marcom,23 February 2022
4,Adobe,"Marketo (acquired ToutApp) See Adobe Systems. Marketo has $308.5M in revenue annually & competes with Act-On Software, Pardot, & HubSpot. Sep 20, 2018: Marketo acquired by Adobe Systems (for $4.8B). Combine Marketo Engage with Adobe Experience Cloud for everything you need, from AI-driven analytics to content optimization at scale, to bring world-class experiences to every single customer.","Acquired,Active",https://www.marketo.com,USA,,,,,,,,11 May 2023
87,"""Matik, Inc.""","Matik matik.io @Matik_io automates the generation of repetitive data-driven presentations, so reps can spend more time selling & less time on tedious tasks. Generate personalized customer presentations in minutes, not hours! Automatically generate native Google Slide or PowerPoint presentations with customized data inputs. Automatically extract data from your CRM, BI dashboards, or any database to infuse data driven insights into your templates. San Francisco, CA",Active,https://matik.io,USA,,,https://twitter.com/matik_io,,,,,23 February 2022
