Field 1,Parent company,Vendor,Business status,link,Country of origin,Software type,Focus,X.com (Twitter),Crunchbase,Website shutdown date,B2B vs B2C,Financials,Last edit
161,Episerver Inc.,"Optimizely owned by Episerver (Acquired by Insight Partners) https://www.optimizely.com/insite/ https://www.episerver.com/campaign/insite Sep 3, 2020: Episerver Acquires Optimizely In Bid To Drive 'Experimentation'. Insite is now Configured Commerce. Episerver is a software company offering web content management (WCM) (or CMS), digital commerce, and digital marketing, through the Episerver Digital Experience Platform Cloud Service. In January 2021, Episerver announced that they were rebranding as Optimizely, a company they acquired in October, 2020. Insite is now Optimizely Configured Commerce","Active,Acquired",https://www.optimizely.com/insite/,USA,,,,https://www.crunchbase.com/organization/episerver,,B2B,"Episerver is a software company offering web content management (WCM) (or CMS), digital commerce, and digital marketing, through the Episerver Digital Experience Platform Cloud Service. In January 2021, Episerver announced that they were rebranding as Optimizely, a company they acquired in October, 2020.",31 December 2024
,"""Instruqt, B.V.""","Instruqt instruqt.com @instruqt Challenge-Driven Learning. Instruqt powers technical sales enablement, customer success, & internal training. We help organizations accelerate the adoption of new tools & technologies for employees & customers. The online learning platform. Discover the platform that gives you the freedom to create & run your hands-on learning using real environments right in your browser. Exactly the way you want. Sales Enablement: Empower your sales teams with easy to access demos & POC environments. Knowledge Sharing: Build a living documentation of your tech stacks for peer to peer learning. Internal Training: Create custom training content that mirrors your production environment. Amsterdam, Netherlands",Active,https://instruqt.com,Netherlands,,,https://twitter.com/instruqt,,,,,13 February 2025
,Console Corp,"Internal internal.io @Internal_io “Internal tools? You’ve got other things to build. Free up valuable engineering time to move your business forward with no-code internal tools.” No-code software that instantly connects the company’s data in useful, actionable ways while controlling access and protecting customer privacy. No-code customizations: Internal makes it easy for anyone to create custom internal tools. No SQL or Javascript knowledge required. From customer onboarding & customer service to data processing & on-demand operations, Internal helps teams do their jobs better. Used to say “Internal offers a tool that helps companies resolve customer issues.” Legal Name “Console Corp”. San Francisco, California, USA","Out of Business,Pivoted",,USA,no code,,https://twitter.com/internal_io,https://www.crunchbase.com/organization/internal,28/12/2023,,,5 July 2024
,"""Interrupt Media, Inc.""","Interrupt Media interruptmedia.com https://x.com/interruptmedia @interruptmedia We’ve got the playbook to create faster, more efficient systems that generate qualified leads. AI Sales Enablement for Fintech Teams: Fintech sales leaders face unique challenges: strict regulatory compliance, complex buyer objections, and long sales cycles. Our fintech sales enablement platform blends AI-powered coaching from tools like Claude with dynamic content delivery. The result: compliant messaging, sharper reps, and deals closed faster—without sacrificing accuracy or oversight. San Francisco, California, USA. Interrupt Media, Inc.",Active,https://interruptmedia.com,USA,,playbooks,https://x.com/interruptmedia,,,,,
,"""Introhive Services, Inc.""","Introhive introhive.com @introhive relationship intelligence platform for CRM that drives user adoption & proactively delivers insights about clients & prospects. Insights: Build business with insightful relationship mapping — where & when you need it. Productivity: Accelerate sales cycles & arm your team with data-driven strategies to liberate them to do what they do best - deliver results. With Productivity Intelligence™, custom-built AI models leverage your company’s historical data to quickly navigate future opportunities & accelerate sales cycles, arming your team with data-driven strategy & liberating their ability to deliver. Deal Coach: Arm your sales teams with next best actions to expedite deal velocity & improve the likelihood of success. Ensure your team is working smarter by maintaining focus & accomplishing more, with less effort. Enable sales people with a clear path to navigate complex sales. Shorten the sales cycles and increase win rates with AI-guided 'next best action'. Decrease ramp time by equipping every seller with AI-identified next steps on deals. Predictive Deal Scoring: Equip your sellers with AI-backed predictions surrounding the likelihood that an opportunity will be won and increase the accuracy of deal forecasting. Introhive Services, Inc., Fredericton, New Brunswick, Canada",Active,https://www.introhive.com,USA,SaaS,,https://twitter.com/introhive,https://www.crunchbase.com/organization/introhive,,B2B,,31 December 2024
,stereosense GmbH,"involve.me involve.me stereosense GmbH (also known as brandquiz) @involvemeapp Make “no code” interactive content in minutes. Set up funnels with 2 minute landing pages, surveys & accept payments online. User engagement platform that helps businesses create personalized customer interactions. Engage Your Users With Interactive Content: Create personalized interactions at every step of the customer journey. Acquire & keep customers involved. involve.me is reimagining customer experience by allowing e-commerce shops & digital marketers to easily create personalized interactions at every step of the customer journey, so they can better acquire & keep customers involved. Vienna, Wien, Austria",Active,https://www.involve.me,Austria,no code,,https://twitter.com/involvemeapp,https://www.crunchbase.com/organization/involve-me,,,,13 February 2025
,Inzant Pty Ltd,"Inzant Pty Ltd inzant.com.au https://www.inzant.com.au @InzantPtyLtd Inzant Sales: A mobile ordering & B2B e-Commerce system for wholesalers & distributors. Designed for wholesale professionals, it helps you automate your entire sales process. The iPad app will give your sales team their time back so they can focus on making more money. From visual product presentations to effective CRM management, right through to online ordering & merchandising. The platform allows users to increase their sales exponentially & save hours of their time. HEATHERBRAE / Newcastle, New South Wales. Australia. Re-branded Reflexion Solutions to Inzant in line with the brand name of their major product ""Inzant Sales"". See Reflexion Solutions Pty Limited. Re-branded Reflexion Solutions to Inzant in line with the brand name of the major product ""Inzant Sales"".","Rebranding,Out of Business",,Australia,mobile app,,https://x.com/InzantPtyLtd,,22/6/2025,B2B,,22 June 2025
5,Mediafly,"iPresent Ltd. iPresent.com sales engagement platform. “Same message, same content, same branding across multiple platforms and devices. Run iPresent on all the major mobile platforms.” Run a tablet alongside a phone on one user license. Hampshire, UK and Sunnyvale, California, USA. 5-Sep-2019, Mediafly acquired sales enablement pioneer, iPresent. Headquartered in Europe, iPresent provides a suite of sales enablement tools empowering salespeople to deliver more engaging sales presentations, increase productivity, & close more deals.","Acquired,Active",https://www.ipresent.com,"UK,USA",,,https://twitter.com/iPresentapp,https://www.crunchbase.com/organization/ipresent,,,https://www.mediafly.com/mediafly-acquires-ipresent/,8 November 2024
68,"""iQuoteXpress, Inc."",iQuote Xpress U.S.","iQuoteXpress iquotexpress.com @iQuoteXpress (IQX) web-based CPQ (Configure Price Quote Software) solution that helps sales reduce proposal times by 50% – 70% with IQX. The sales enablement tools you need to streamline and improve your quoting and sales process: Automated proposals, dynamic cataloging, reporting, and flexible integration with your existing systems. Ensure a consistent look and feel for every quote you put in a customer's hands. ""Sales enablement requires analytics, and we’ll deploy the back-end tracking tools to give you complete oversight, and help ensure no proposal or business opportunity goes missing."" Studio City, California, USA. iQuoteXpress, Inc., iQuote Xpress U.S., 4240 Fulton Avenue, Suite 112, Studio City, CA 91604, USA",Active,https://www.iquotexpress.com,USA,,,https://x.com/iquotexpress,,,,,23 September 2025
,,"ItaQuod ItaQuod.com @ItaQuod Close Business Now – Sales teams are more efficient, consistent & predictable. Close Business Tomorrow – The rest of the organization has direct access to clear, concise information required to evolve messaging, solutions & partnerships for future success. “The right data, in the right place… easily captured, collaborated on & consumed.” RADNOR, PA, USA",Out of Business,,USA,,,https://twitter.com/itaquod,https://www.crunchbase.com/organization/itaquod,,,,8 November 2024
,,"iWishAI iwish.ai https://www.iwish.ai https://twitter.com/iwish_ai Scale your SDRs. You can't afford to waste good leads. Genie to help salespeople. Transforming sales enablement with AI. iWish replaces experts with AI & enables your sales team to learn by engaging in two-way communication. Make 90% of your deck in minutes. What's more? Your deck is interactive. Currently using OpenAI. Danville, CA / San Francisco Bay Area, USA",Active,https://www.iwish.ai,USA,"ML,SaaS","Sales Enablement,Document Generation",https://x.com/iwish_ai,,,B2B,,18 May 2025
,"""involve.ai, Inc.""","Jeeva AI Jeeva.ai @jeeva_ai Building Agentic AI for Anyone Who Sells. Automate lead gen, data enrichment, outreach & more so your team can focus on closing deals. Superhuman agentic AI for sales teams. Automate lead gen, data enrichment, outreach & more so your team can focus on closing deals. Your reps can’t be in 100 places at once. Jeeva can. Your AI-powered sales agent that finds & enrich leads, writes emails, handles objections & books meetings — while you sleep. Sales teams today juggle 7+ tools & still spend only 30% of their time selling. Jeeva automates your entire top-of-funnel: Lead discovery, Deep data enrichment, Personalized outreach, Follow-ups & objections. This isn’t another bot. Jeeva pulls real-time research from LinkedIn, Google, earnings reports, & press releases to write intelligent messages in your brand’s voice. It even flags CRM duplicates before they slip in. With verified contacts in hand, Jeeva negotiates open slots via Calendly APIs & books meetings autonomously — no rep intervention needed. You sip coffee. Jeeva builds pipeline. involve.ai, Inc., CA, USA",Active,https://www.jeeva.ai,USA,"ML,SaaS","Lead Generation,outreach,sales intelligence,Sales Enablement,email,prospecting",https://x.com/jeeva_ai,,,B2B,https://www.businessinsider.com/marc-benioff-jack-altman-invested-sales-tech-startup-pitch-deck-2025-12,2 December 2025
66,Jiminny Inc,"Jiminny jiminny.com @JiminnyInc a platform for all your customer conversations. Use Automation & AI to help your team grow & develop. ""If you’re already using Slack to share new sales wins, product feedback, pipeline updates & sales content, then you should probably be using Jiminny."" Transcribe, search & save time with Voice AI: Transcribes your calls instantly after the meetings are finished. Search specific moments in the call to spend time coaching where it matters. New York, New York, United States",Active,https://www.jiminny.com,USA,,,https://twitter.com/JiminnyInc,https://www.crunchbase.com/organization/jiminny-inc,,,,7 August 2025
,"""Ignite Enterprise Software Solutions, Inc. ""","Jive jivesoftware.com @jivesoftware by https://twitter.com/ignitetech “provider of modern communication & collaboration solutions for business. We empower people & organizations to work better together.” Though based in California, Jive’s largest site is in downtown Portland, its onetime headquarters. Aurea completed its $462M purchase of Jive. Jive once employed upward of 200 people in Portland, but after a 2016 layoff & an exodus following the company’s sale, its workforce has fallen considerably. Jive Software had $203.5M in revenue annually & competed with Get Satisfaction, Slack, & Workfront. Jive: The Intelligence-Driven Intranet: Our innovative platform transforms your organization – driving productivity, improving collaboration & modernizing search. Austin, TX, USA: 3-May-2023, IgniteTech, the company announced that Jive Software is now part of its set of software solutions for enterprise customers. Because of Jive’s global reach & record of success, the product has now become the flagship solution for IgniteTech's Communications & Remote Engagement solution suite, which also includes AnswerHub, Sococo, & Synoptos. Ignite Enterprise Software Solutions, Inc. Sococo is Now Part of IgniteTech","Acquired,Active",https://www.jivesoftware.com,USA,,,https://twitter.com/jivesoftware,https://www.crunchbase.com/organization/jive-software,,,https://ignitetech.com/about/blogs/ignitetech-announces-addition-jive-software-companys-leading-solutions,7 August 2025
,"""Joomag, Inc.""","Joomag https://www.joomag.com/en/solutions/sales-enablement @Joomag Create & deliver high-impact content, get comprehensive analytics, boost sales. Content performance platform. Create & distribute engaging content & measure its performance & ROI. Generate more leads & magnify your reach by distributing your content across all devices. Interactive elements like photo galleries, videos, & feedback plugins/forms throughout your content. Create custom lead gen forms, have them appear as popups, acquire leads right from your publication, & leverage the CRM to manage them all. Distribution: Deliver your publication on all major platforms & devices including web, mobile browsers, social media, & your very own iOS & Android apps. Analytics: Learn how readers are interacting with your content from detailed metrics such as page views, average view durations, links, & more. See how many of your emails were opened, how recipients are engaging with them, & how many times the offline PDF version of your publication is downloaded. Put your content in front of the right people with easily shareable links. Request a custom Android or iOS app & we’ll build it for distribution on the App Store or Google Play. Deliver your content to your entire email list with a simple button click. Joomag, Inc., San Jose, CA, US",Active,https://www.joomag.com/en/solutions/sales-enablement,USA,mobile app,"print / offline,mobile,email,Content Editing",https://twitter.com/Joomag,,,"B2B,B2C",https://www.linkedin.com/company/joomag/about/,31 May 2024
71,Jostle Corporation,"Jostle jostle.me @jostleme techcrunch writes “[…] wants to put a fresh face on intranet software. […] aims to make it easier for companies to publish news stories and announcements, host online discussions and share other relevant information like team directories. […] features a Yammer-like chat tool. […] integrates with the likes of Active Directory and other directory services to make onboarding easy. It also supports most popular single sign-on solutions and offers Google Apps integration, too, with support for Google Docs, Gmail, Google Contacts & Drive. Vancouver, Canada",Active,https://jostle.me,Canada,,,https://twitter.com/jostleme,https://www.crunchbase.com/organization/jostle,,,,13 February 2025
72,Journey Systems Inc.,"Journey Sales JourneyDXP journeysales.com journeydxp.com @JourneySales smart rooms digitally engage customers with sales teams across the customer lifecycle, allowing them to easily collaborate – all in Salesforce.com. B2B sales solution designed for you & your customer. Smart Rooms are private digital collaboration spaces where a sales team & a customer team can work together, engage key decision-makers, invite colleagues, quickly reach consensus etc. Say goodbye to repeat conversations, endless emailing & unproductive phone calls & say hello to everyone on the same page. Once had $5.8M in revenue annually. Competes with Abtech Holdings. Journey Sales is now JourneyDXP. Although we started by targeting sales, our customers began to apply Smart Rooms to a variety of use cases that cross sales, marketing, & account management. A great customer experience is essential to modern sales success. By changing our name from Journey Sales to JourneyDXP, we’re underscoring the larger value of our products & services as components of a comprehensive digital experience platform designed to offer enterprise-wide benefits for teams. JourneyDXP continues to add new innovations to our Smart Rooms solution enabling client-facing end-users to improve engagement with prospects, clients, & fellow team members. Add to these innovations an expanded line of strategic coaching services to help B2B organizations embrace virtual selling & other digital-first business strategies, & JourneyDXP is changing the landscape of digital customer engagement, & unifying sales, marketing, success, account management, & channel partner teams in their efforts to build profitable pipelines & remain competitive in their space. Empower your team with a best-in-class digital sales solution to engage smarter & win more. Philadelphia, PA, USA & Chandigarh, Chandigarh, India","Active,Pivoted,Rebranding",https://journeydxp.com,"USA,India",,,https://twitter.com/JourneySales,https://www.crunchbase.com/organization/journey-sales,,B2B,,7 August 2025
77,Kahoot! AS,Kahoot! kahoot.com @GetKahoot Helping unlock the magic of learning. Kahoot! for business: Enterprise: Create a learning culture that all employees want to be part of. Deliver engaging training and e-learning at scale. Make internal presentations and events engaging. Enable collaboration across your organization. Onboard your entire organization easily & securely. Deliver engaging training & e-learning at scale: Build a content library. Create game-based learning programs with colleagues in a shared team space. All team space members can search & reuse questions or kahoots made by others. Enable company-wide collaboration: Collaborate on content in a shared team space. Save time by reusing content – either entire kahoots or individual questions. Oslo / Austin / London,Active,https://kahoot.com,"USA,UK,Norway",,,https://twitter.com/GetKahoot,https://www.crunchbase.com/organization/kahoot-,,,,7 August 2025
171,"Upland Software,""Private Equity Firm HGGC, LLC hggc.com""","Kapost kapost.com founded in 2009 & acquired in 2019. Content marketing software platform. Enables marketers to succeed as publishers by helping them generate content ideas, manage the content production process, & develop traffic-generating links to their content. Manage every aspect of your B2B content lifecycle – from ideation to distribution – & optimize every single asset. Streamlines your distribution process, enabling you to publish to an internal library & across channels. Simplifies content discovery & tracks internal usage of current content among teams. Manage your entire content lifecycle, collaborate & produce more efficiently, & measure the impact of every single asset through the entire buyer journey. Had $15M in revenue annually & competed with NewsCred, Uberflip, & WebDAM. May 28, 2019, Upland Software (See below) acquired Kapost for approx. 3x revenue ($45M in cash) + $5M cash holdback payable in 12 months. Boulder, CO",Acquired,https://kapost.com,USA,,,,,,B2B,,7 August 2025
,"""Horatio, Inc""","Kbee kbee.app https://kbee.app/shutdown @tryKbee Knowledge Base Software. Kbee lets anyone create a searchable & branded knowledge base straight from Google Docs. Turn your content into a fast, searchable space for you, your team, or your customers. Create instantly: Turn your existing Google Drive folders & files into a professional knowledge base. Find answers quickly: Full-text search across all of your content. Match your brand: Customize your domain, logo, color schemes, & layout. Horatio, Inc. San Francisco, CA, USA","Active,Pivoted",https://www.kbee.app,USA,,"knowledge management,learning management system,searching finding discovery",https://twitter.com/trykbee,,,,,30 October 2025
,,"Kendo ai https://kendo.ai @Kendosalesai AI training, enablement, and management platform built for sales people by sales people. Kendo ai is a sales training software that emulates real human roleplay calls and allows teams to train against AI. Increase your sales teams performance, save hours per day, and increase ramp time for new reps with AI sales training & management. The All In One Sales Training, Ramp Up, & Enablement Platform. Effortlessly manage your sales team, roleplay with Ai, and track performance with our intelligent call scoring. Train Smarter. Close More Deals. Ramp Faster. Kendo AI is designed to be the highest ROI tool in your sales department. Your team will close more, save hours per week in training and onboarding, and ramp faster than ever. AI training, management, and enablement platform built for sales people by sales people. Miami, Florida, United States",Active,https://kendo.ai,USA,ML,"Call Coaching,Sales Enablement",https://x.com/Kendosalesai,,,B2B,,30 July 2025
70,"""KickPost, Corp.""","KickPost kickpost.io Effortlessly connect to your departments/partners on KickPost, a way to deliver, organize, & receive up-to-date info in one place. Organizes the clutter & connects you together, all in one place, making it simple to distribute & receive information from all your connections. Organize your co-workers to better manage & share information with specific parts of your team. Partner engagement. Scottsdale, Arizona",Active,https://www.kickpost.io,USA,,,,,,B2B,,7 August 2025
,Kickscale GmbH,"Kickscale https://www.kickscale.com/ @kickscale Use Sales Playbooks Your Sales Reps Love. The Kickscale Platform is offering playbooks enabling marketing & sales teams to scale. You can access know-how and best-in-class content with just one click. Kickscale GmbH. Vienna, Austria",Active,https://www.kickscale.com,Austria,"SaaS,no code",playbooks,https://twitter.com/kickscale,,,,,7 August 2025
,,"KiCube apps to drag & drop your marketing content to build an interactive story for the devices used by your sales force. Austin, TX",Out of Business,,USA,,,,,,,,7 August 2025
73,Uvaro Inc.,"Kiite https://kiite.ai kiite is now uvaro kiite.ai AI for Sales Enablement kiite.ai/sales-enablement/ @kiiteHQ “The future of work is being built today. Supercharge your workforce with Kiite, the world’s first Intelligent Sales Coach. Streamline Sales Enablement: Let’s face it, there’s too much company knowledge & it’s impossible to train reps on everything. Knowledge is scattered among applications & websites, making it difficult for sales reps to access & leverage to sell more.” Dec 27, 2017, raised undisclosed amount / Seed from Xfund. crunchbase.com/organization/kiite Waterloo, Ontario, Canada. 3-Nov-2021, WATERLOO, ON, CANADA. Online tech sales academy Uvaro closed a $12M (USD) Series A funding round with lead investment from global multi-stage technology investment firm White Star Capital with participation by Real Ventures & BDC Capital’s Women in Technology Venture Fund. ",Active,https://uvaro.com/about/kiite,Canada,,,https://twitter.com/kiiteHQ,,,,https://uvaro.com/blog/series-a,7 August 2025
,KLUE LABS,"Klue klue.com @kluein competitive intelligence software that helps Marketing & Enablement teams collect, curate, & deliver intel to Sales to close more deals. Track Competitors: Stay on top of the competition. Klue tracks relevant news & data and combines it with internal sources. Deeper competitive intelligence gives you the edge. Centralize Competitive Content: Update sales battlecards, collaborate, & deliver consumable competitive strategies in the tools your Sales reps use every day. Improve Sales Performance: Arm reps with sales strategies to be more effective in closing deals. Easily searchable sales battlecards give tactics to handle objections, deposition competitors, & leverage strengths. $800K in estimated revenue annually & competes with CI Radar, PlainSight Intel LLC, & Digimind. By KLUE LABS, Vancouver, British Columbia, Canada. 19-Jan-2023, Market intelligence platform Klue acquired Massachusetts-based company DoubleCheck. Financial details of the acquisition were not made public. https://doublecheckresearch.com",Active,https://klue.com,Canada,ML,Agentic AI,https://twitter.com/kluein,https://www.crunchbase.com/organization/klue,,B2B,,7 August 2025
156,"Klyck.io Corp,SKURA","KLYCK https://klyck.io klyck.io @klyckio (from the founder of SKURA Sales Enablement solution skura.com) Sales enablement app built for manufacturing solution sellers. Improve the way you publish, present, share, & analyze content! Founded on the belief that solution sellers need the right tools to create memorable sales conversations. Our mission is to help sales & marketing teams around the world improve the way they publish, present, analyze, & deliver content. Make Every Conversation Count: Redefining the way companies manage, present, share & analyze content by providing teams with the skills, and tools to make every conversation count. KLYCK is redefining the way companies manage, present, share & analyze content by providing teams with the knowledge, skills, processes & tools to make every interaction count. Less Searching, More Selling: Easily publish content, update existing collateral & organize your content library. Measure the impact of your content with detailed & customizable analytics to understand how your workforce & prospects are engaging. Toronto, Ontario, Canada","Rebranding,Pivoted,Acquired",https://klyck.io,Canada,SaaS,Sales Enablement,https://x.com/klyckio,https://www.crunchbase.com/organization/whut-inc,,B2B,,7 December 2025
,"""Bellurbis Technologies Pvt. Ltd., India""","KnoBis knobis.co KNOWLEDGE MANAGEMENT PLATFORM: “A Knowledge Base that teams actually love to use.” “Somewhere along the way, Knowledge Base got really hard to use. Simple, intuitive & requires no training.” SALES ENABLEMENT: Ensure better synchronization between sales & marketing teams, & provide sales reps with the entire arsenal needed to close deals. INTRANET & CONTENT REPOSITORY: Create your own intranet with an interactive content repository, allowing employees to contribute, collaborate & share. COMMUNITY: Create a community of relevant stakeholders, & share news, product updates, tips & tricks etc. By Bellurbis Technologies Pvt. Ltd., India",Out of Business,,India,,,,,,,,7 August 2025
142,"Seismic,Permira permira.com Global investment firm","KnowledgeTree knowledgetree.com (KnowledgeTree was acquired by SAVO Group; announced Jun 12, 2017. Then on May 8, 2018, it was announced that Seismic acquires SAVO Group) Right content, right time, right in salesforce.com – Sales teams sell more when they use effective presentations, data sheets, & case studies. Makes sales enablement easy by surfacing the best content for any sales process – instantly in salesforce.com",Acquired,https://seismic.com/knowledgetree-login/,USA,,,,,,,,7 August 2025
,Knowledge Work Inc.,"Knowledge Work kwork.studio @asanokoji a CMS. Sales enablement cloud that helps everyone sell. Strengthen your sales force & improve sales productivity with one tool. knowledgework.cloud All functions of “Knowledge Work” can be used on “Salesforce Sales Cloud”. You can find sales materials & sales know-how that match your business negotiations on the individual business negotiation screen in Salesforce Sales Cloud. Strengthen your sales force & improve sales productivity with one tool. Create learning courses using materials & videos as teaching materials in a short time & without any hassle. Integrates seamlessly with tools such as CRM/SFA, file storage, chat tools, & single sign-on. Use data to understand the usage status of sales materials, videos, & sales know-how, as well as the status of learning courses. Knowledge Work Inc., Japan",Active,https://kwork.studio,Japan,SaaS,"Sales Enablement,CMS",https://twitter.com/asanokoji,,,B2B,,7 August 2025
74,SEMrush Inc.,"Kompyte kompyte.com @kompyte helps product, marketing & sales teams collect, organize & act on CI (competitive intelligence) to differentiate, provide unique value & earn market share. kompyte.com/sales-enablement/ COMPETITIVE INTELLIGENCE FOR SALES ENABLEMENT: Differentiate & win more deals. Improve sales effectiveness with up-to-date intelligence on competitor pricing, products & promotions. $1M in estimated revenue annually & used to compete with Rival IQ, TrackMaven, & L2. Now saying they don’t compete with RivalIQ or Track Maven anymore, but their main competitors are Klue & Crayon. Intellikom, Inc., doing business as Kompyte. San Francisco, CA, USA & Barcelona, Spain. 1-Mar-2022: Semrush, an online visibility management SaaS platform, announced plans to acquire competitive intelligence automation & sales enablement platform Kompyte. Based out of Austin, Kompyte is an Al-driven solution designed to simplify the tracking, compilation & analysis of competitor insights for sales, marketing, product development & executive teams. Its platform delivers timely, strategic insights derived through the consistent monitoring of competitors' holistic online presence. This enables better messaging, positioning, product development, & revenue capture for both small teams & large enterprises.","Active,Acquired,Rebranding",https://www.kompyte.com/sales-enablement/,"USA,Spain","SaaS,ML",Sales Enablement,https://twitter.com/kompyte,https://www.crunchbase.com/organization/kompyte,,B2B,https://angel.co/company/kompyte,7 August 2025
,Temenos Group,"Kony Is Now Temenos!! Kony kony.com Kony enterprise apps: Reach your employees on any channel – phones, tablets, desktops, & more – to deliver a consistent experience that drives enterprise-wide adoption. Enable sales teams to engage with customers in a personalized & informed way – anytime, anywhere. Help field & plant workers quickly execute & close work orders with intuitive workflows & access to pertinent information. Geneva-based Temenos' announced the acquisition of Austin, Texas-based digital application provider Kony in a deal totalling $580M. September 25, 2019, Temenos (SIX: TEMN) GENEVA Switzerland banking software company, announced that the acquisition of Kony Inc @kony the US digital banking SaaS company has now closed. Temenos acquired Kony, the a digital banking SaaS company in the US. Kony’s technology accelerated Temenos Infinity, the cloud-native digital banking product, which drives digital experiences across customer journeys.","Acquired,Leaving Sales Enablement market,Out of Business",https://archive.temenos.com/news/2020/10/16/kony-is-now-temenos/,"USA,Switzerland",,,https://twitter.com/kony,https://www.crunchbase.com/organization/temenos,14/5/2025,,https://www.crunchbase.com/organization/kony,14 May 2025
,,"Kraams kraams.com an iPad app that was hoping to become the sales platform of choice for small businesses reliant on face-to-face pitches with clients. The point of the app was to enable users to easily tweak their story lines for any given presentation & to change tack in the middle of that same meeting. Founded in Poland by a group of advertising vets, the idea was that there is no better way to achieve credibility with a client than to deliver a customized pitch. The app placed product images on cards, which the salesperson could shuffle, group, & swipe away in reaction to the client’s responses: More agile than slideshow programs, especially relevant when appealing to only a few people’s opinions. In addition to programs like PowerPoint & Keynote, it was directly competing against customizable sales apps like Showpad/StoryDesk. The differentiating point was the emphasis on targeting SOHO & SME businesses, since many other apps are oriented toward serving large companies & supporting the whole sales process. Poland",Out of Business,,Poland,,,,,,,,20 January 2023
54,Act! LLC,"Kuvana, Inc. kuvana.com http://www.kuvana.com (Previous name Skygage?) See buying signals instantly: Alerts for opens, videos, PDFs, links, web pages and CRM. Key prospect interaction is captured, and followup actions made easy. Marketing Asset Analytics. Asset Libraries: Easily insert marketing collateral into your sales emails. And see the stats as they roll in. Atlanta, GA (Swiftpage has acquired Kuvana on Dec 12, 2018.) @Swiftpage has continued it's growth strategy with it's recent acquisition of Kuvana, Inc who are the makers of InboxGuru. Swiftpage is now Act!. Follow @ActCRM","Acquired,Rebranding,Out of Business",https://www.inbox.guru,USA,,,https://twitter.com/TeamKuvana,https://www.crunchbase.com/organization/skygage,,,,21 January 2025
,Epicor Software Corporation,"KYKLO kyklo-usa.com www.kyklo.co https://x.com/KykloApp Sales Operations Management - Helping Automation & Electrical Distributors Digitize. ""Shopify for B2B distributors in the electromechanical industry"". New York City, New York, USA & Bang Rak, Krung Thep, Thailand. 12-Jun-2024, Epicor (industry-specific enterprise software to promote business growth) announced it has acquired KYKLO, a provider of Product Information Management (PIM) and content-driven lead generation solutions to drive sales for manufacturers and distributors. Financial terms were not disclosed. Epicor Software Corporation. Austin, TX 78746, USA https://www.epicor.com/en-au/newsroom/news-releases/kyklo-acquisition/ With KYKLO, Epicor customers can more easily create, manage, and deploy product information such as content, price, and inventory across multiple channels to generate qualified leads and revenue. KYKLO also supports collaboration with suppliers for real-time, accurate, and complete product content, and use of product discovery tools that strengthen eCommerce strategies to drive sales. ",Acquired,https://www.epicor.com/en-au/newsroom/news-releases/kyklo-acquisition/,"USA,Thailand",,eCommerce,https://x.com/KykloApp,https://www.crunchbase.com/organization/kyklo,19/8/2024,"B2B,B2C",https://www.epicor.com/en-au/newsroom/news-releases/kyklo-acquisition/,19 August 2024
75,Lative Limited,"Lative lative.io @Lative_io view & manage your sales organisations performance! Make better investment decisions, improve operating margins & design the right sales organisations for the future. Are my sales teams effective and efficient? Am I investing in the right areas? Do I have enough sales capacity to reach the targets? Am I setting targets that drive the right sales behaviours? What are my true ramp times for new hires? What impact did the sales enablement activities have? We standardize & deliver the Growth Efficiency Metric (GEM Score) to help businesses grow efficiently. The Lative platform provides real-time insights enabling customers to make real-time decisions to manage growth efficiency, headcount effectiveness & capacity planning. Accurately predicting your future & provide insights & simulations to better manage your business & greatly reduce planning cycles. Lative Limited, Dublin, Ireland",Active,https://www.lative.io,Ireland,SaaS,Sales Enablement,https://twitter.com/Lative_io,,,"B2B,B2C",,16 December 2024
,Academy Pty Ltd,"Launch Pad launchpadacademy.com.au former LaunchPad.com LaunchPad isn’t another course you’ll forget. It’s a fully managed, AI-powered platform built to help you close more deals, grow faster, & take control of your career. A personal development platform designed by industry experts. LaunchPad: The Sales training course designed by experts to help you get ahead of the competition & land a job in Tech Sales. Sydney, NSW & Melbourne, VIC, Australia. Launchpad Academy Pty Ltd (ABN: 81 673 573 978)","Active,Rebranding",https://launchpadacademy.com.au,Australia,none,"Sales Enablement,Call Coaching",,,,"B2B,B2C",,18 September 2025
41,"""DEMAND SCIENCE, LLC""","Leadiro leadiro.com https://demandscience.com/products/account-intelligence/ @leadiro B2B sales enablement, sales intelligence & data enrichment platform with 60M+ verified records. 19-Apr-2021, DANVERS, Mass., USA, Demand Science DemandScience demandscience.com @DemandScience (Buyer Intelligence Platform / B2B Sales Enablement & Market Intelligence Solutions) completed the acquisition of Leadiro. DemandScience & Terminus merged under the DemandScience brand, 12-November-2024: DANVERS, MA, & ATLANTA, GA, USA; DemandScience, a B2B revenue intelligence & demand generation company that accelerates global growth for clients, & Terminus, an account-centric platform for revenue growth, announced that Terminus has merged into DemandScience. The newly combined company will operate under the DemandScience brand. The combination moves DemandScience forward as a global B2B revenue marketing company with a next generation account-based experience (“ABX”) platform and omnichannel solutions that enable marketers to accelerate every point along the buying journey.","Acquired,Out of Business",https://demandscience.com/products/account-intelligence/,USA,,Sales Enablement,https://twitter.com/leadiro,,,B2B,,13 September 2025
